Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF 50V,C_1210_3225Metric,114.0068,-48.1306,-90,top
C2,0.1uF,C_0805_2012Metric,109.6126,-43.4316,0,top
C3,220pF,C_0805_2012Metric,104.2786,-53.5136,0,top
C4,22uF,C_1210_3225Metric,93.8646,-38.4024,180,top
C5,100nF,C_0603_1608Metric,96.3738,-71.7272,0,top
C6,100nF,C_0603_1608Metric,101.3738,-71.7272,0,top
C7,100nF,C_0603_1608Metric,91.3738,-71.7272,180,top
C8,100nF,C_0603_1608Metric,106.3738,-71.7272,0,top
C9,10nF,C_0603_1608Metric,23.5204,-73.5584,0,top
D1,SS34,DIOM7959X265N_SS34,112.7876,-38.4024,0,top
L1,4.7uH,INDP7368X320_Inductor,102.3736,-38.4278,180,top
Q1,DMG2305UX-7,SOT91P240X110-3N_DMG2305UX-7,86.5879,-22.86,0,top
Q2,DMG2305UX-7,SOT91P240X110-3N_DMG2305UX-7,55.6006,-22.8854,0,top
R1,100K,R_0805_2012Metric,93.8665,-45.87,0,top
R2,24K9,R_0805_2012Metric,93.8665,-49.6546,180,top
R3,200K,R_0805_2012Metric,109.5364,-48.1306,0,top
R4,68K,R_0805_2012Metric,104.3548,-57.0206,180,top
R5,43K,R_0805_2012Metric,95.7461,-57.0206,0,top
R6,8K2,R_0805_2012Metric,100.1403,-57.0206,0,top
R7,2.2k,R_0603_1608Metric,65.9892,-76.6958,-90,top
R8,2.2k,R_0603_1608Metric,63.4238,-76.6958,-90,top
R9,1K,R_0603_1608Metric,23.5712,-76.5302,180,top
U1,MP1584EN,SOIC127P600X170-9N_MP1584EN,102.3228,-47.6208,0,top
U3,MAX3232,SO-16_3.9x9.9mm_P1.27mm,98.6144,-65.0312,90,top
